店舗名,住所,電話番号,営業時間,サービス,詳細ページURL,コード
松屋 仙台定禅寺通り店,宮城県仙台市青葉区国分町3-3-5 リスズビル1F,080-5928-0960,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000623&dc=%7B%27c_campain15%27%3A%271%27%7D,0000000623
松屋 仙台扇町店（松のや併設）,宮城県仙台市宮城野区扇町5-5-1,080-5928-0984,7時から翌2時 ※松のやは、8時から22時、ラストオーダー15分前,"['駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001332&dc=%7B%27c_campain15%27%3A%271%27%7D,0000001332
松屋 古川店（松のや併設）,宮城県大崎市古川中島町2-63,080-5827-4527,24時間営業,"['24時間営業', '駐車場あり', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002095&dc=%7B%27c_campain15%27%3A%271%27%7D,0000002095
松屋 郡山芳賀店,福島県郡山市芳賀3-1-23,080-5928-0972,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000707&dc=%7B%27c_campain15%27%3A%271%27%7D,0000000707
松屋 茨城那珂店（松のや併設）,茨城県那珂市竹ノ内2-10-2,070-7596-1958,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002213&dc=%7B%27c_campain15%27%3A%271%27%7D,0000002213
松屋 かすみがうら店,茨城県かすみがうら市上稲吉1943-32,080-9021-6668,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001808&dc=%7B%27c_campain15%27%3A%271%27%7D,0000001808
松屋 宇都宮オリオン通店,栃木県宇都宮市曲師町5-8 多喜屋ビル,080-5928-0980,9時から24時、ラストオーダー15分前,"['テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000745&dc=%7B%27c_campain15%27%3A%271%27%7D,0000000745
松屋 高崎南大類店（松のや併設）,群馬県高崎市南大類町915-1,070-3821-0777,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', '松弁デリバリー', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002045&dc=%7B%27c_campain15%27%3A%271%27%7D,0000002045
松屋 西川口店,埼玉県川口市並木2-1-6 1F,080-5928-0846,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000162&dc=%7B%27c_campain15%27%3A%271%27%7D,0000000162
松屋 新所沢東口店,埼玉県所沢市松葉町10-15,080-5928-0865,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000464&dc=%7B%27c_campain15%27%3A%271%27%7D,0000000464
