店舗名,住所,電話番号,営業時間,サービス,詳細ページURL,コード
松屋 仙台五橋店,宮城県仙台市若林区清水小路5-6 エステート五ツ橋,080-5985-8237,8時30分から翌0時30分、ラストオーダー15分前,"['テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001755&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001755
松屋 山形駅前店,山形県山形市香澄町1-5-17 第一大宝ビル,080-5928-0983,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000775&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000775
松屋 寒河江店（松のや併設）,山形県寒河江市寒河江赤田62-1,090-9247-7470,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002210&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002210
松屋 白河店,福島県西白河郡西郷村字豊作東1,080-5928-0966,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000683&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000683
松屋 つくば東大通店,茨城県つくば市妻木1768-1,080-9021-6707,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001821&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001821
松屋 足利店（松のや併設）,栃木県足利市朝倉町2-22-7,090-3616-7763,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', '松弁デリバリー', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002162&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002162
松屋 伊勢崎宮子町店（松のや併設）,群馬県伊勢崎市宮子町3426-1,080-5928-0924,24時間営業,"['24時間営業', '駐車場あり', 'ドライブスルー', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000647&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000647
松屋 大宮桜木町店（松のや併設）,埼玉県さいたま市大宮区桜木町2-472-3,080-5928-0941,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000750&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000750
松屋 川口駅前店,埼玉県川口市川口1-1-1 CuPo･La専門店A105,080-5928-0894,24時間営業,"['24時間営業', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000772&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000772
松屋 草加東口店,埼玉県草加市高砂2-18-9,070-7469-3726,9時から23時、ラストオーダー15分前,"['テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001912&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001912
松屋 入間市駅前店（松のや併設）,埼玉県入間市豊岡1-2-30 横田スクウエアービル1階,070-7596-1977,24時間営業,"['24時間営業', 'テーブル席あり', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000002231&dc=%7B%27c_campain14%27%3A%271%27%7D,0000002231
松屋 北本店,埼玉県北本市深井6-151,080-5985-8120,5時から翌2時,"['駐車場あり', 'テーブル席あり', 'バリアフリー', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000975&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000975
松屋 吉川店,埼玉県吉川市木売1-4-11,080-5928-0899,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000800&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000800
松屋 南行徳店,千葉県市川市相之川4-17-2 メトロセンター南行徳,080-5928-0799,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000328&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000328
松屋 新柏店（松のや併設）,千葉県柏市新柏4丁目12番7,070-2182-1498,24時間営業,"['24時間営業', '駐車場あり', 'テーブル席あり', '松弁デリバリー', 'セルフサービス']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000001965&dc=%7B%27c_campain14%27%3A%271%27%7D,0000001965
松屋 八千代台東口店,千葉県八千代市八千代台東1-2-16 第7扇ビル,080-5952-8416,8時から23時、ラストオーダー15分前,"['テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000942&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000942
松屋 新宿靖国通り店,東京都新宿区歌舞伎町1-6-3 石塚ビル1F,080-5928-0459,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000332&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000332
松屋 西新宿3丁目店,東京都新宿区西新宿3-7-21 陽輪台西新宿林屋ビル,080-5928-0476,24時間営業,"['24時間営業', '松弁デリバリー', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000791&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000791
松屋 新木場店,東京都江東区新木場1-6-1 新木場メトロセンターB棟G-2号,080-5928-0805,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000400&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000400
松屋 大森店,東京都大田区山王2-2-11,080-5928-0584,24時間営業,"['24時間営業', 'テーブル席あり', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000047&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000047
松屋 大岡山店,東京都大田区北千束1-40-1 石井ビル1F,080-5928-0598,24時間営業,"['24時間営業', '松弁デリバリー', 'セルフサービス', 'dポイント']",https://pkg.navitime.co.jp/matsuyafoods2/spot/detail?code=0000000233&dc=%7B%27c_campain14%27%3A%271%27%7D,0000000233
