group,value,label
"","all","すべて表示"
"","ライスおかわり無料.csv","ライスおかわり無料"
"実施中","20251028_いぶりがっこ牛めし.csv","20251028- いぶりがっこ牛めし"
"実施中","20260324_ポキ丼.csv","20260324- ポキ丼"
"実施中","20260324_溢れる3種の濃厚チーズINハンバーグ.csv","20260324- 溢れる3種の濃厚チーズINハンバーグ"
"実施中","20260324_オニオングラタンチーズハンバーグ.csv","20260324- オニオングラタンチーズハンバーグ"
"実施中","20260324_牛とじ丼.csv","20260324- 牛とじ丼"
"実施中","20260324_衣笠丼.csv","20260324- 衣笠丼"
"実施中","20260317_豆乳プリン.csv","20260317- 豆乳プリン"
"実施中","20260317_富士山豆腐の麻婆茄子.csv","20260317- 富士山豆腐の麻婆茄子"
"実施中","20260317_チミチュリソース 厚切りポークグリル.csv","20260317- チミチュリソース 厚切りポークグリル"
"過去","20260224_ネオトマトカレー.csv","20260224-20260310 ネオトマトカレー"
"過去","20260224_明太マヨ高菜牛めし チーズ明太マヨチキン定食.csv","20260224-20260310 明太マヨ高菜牛めし チーズ明太マヨチキン定食"
"過去","20260224_タコライス1.csv","20260224-20260310 タコライス(780円)"
"過去","20260224_タコライス2.csv","20260224-20260310 タコライス(580円)"
"過去","20260225_スクランブルエッグ定食.csv","20260225-20260311 スクランブルエッグ定食"
"過去","20260120_牛めしハッピーアワー.csv","20260120-20260302 牛めしハッピーアワー"
"過去","20260120_午後の朝ごはん.csv","20260120-20260302 午後の朝ごはん"
"過去","20260113_鶏みそ鍋.csv","20260113-20260224 鶏みそ鍋"
"過去","20260113_ピリ辛にら玉飯.csv","20260113-20260224 ピリ辛にら玉飯"
"過去","20260113_かしわバター丼.csv","20260113-20260224 かしわバター丼"
"過去","20260113_焼き鳥丼.csv","20260113-20260224 焼き鳥丼"
"過去","20251028_マーボカリー丼.csv","20251028-20251111 マーボカリー丼"
"過去","20251014_ごろチキチリソース定食.csv","20251014-20251021 ごろチキチリソース定食"
"過去","20251014_油淋鶏風チキングリル定食.csv","20251014-20251021 油淋鶏風チキングリル定食"
"過去","20251014_うまトマバジルチキン定食.csv","20251014-20251021 うまトマバジルチキン定食"
"過去","20251014_ネギたっぷり背脂牛めし.csv","20251014-20251021 ネギたっぷり背脂牛めし"
"過去","20251014_新豚汁.csv","20251014-20251021 新豚汁"
"過去","20250930_未来のレモンサワー.csv","20250930-20251111 未来のレモンサワー"
"過去","20250930_西条てっぱん ナポリタンハンバーグ定食.csv","20250930-20251007 西条てっぱん ナポリタンハンバーグ定食"
"過去","20250930_サムギョプサル極厚豚カルビ焼肉定食.csv","20250930-20251007 サムギョプサル極厚豚カルビ焼肉定食"
"過去","20250923_担々スープハンバーグ.csv","20250923-20250930 担々スープハンバーグ"
"過去","20250909_カルビと厚切り上カルビ丼.csv","20250909-20250916 カルビと厚切り上カルビ丼"
"過去","20250909_デミグラスハンバーグ定食.csv","20250909-20250916 デミグラスハンバーグ定食"
"過去","20250909_牛肉バターちゃんぽん焼き定食.csv","20250909-20250916 牛肉バターちゃんぽん焼き定食"
"過去","20250909_鶏ちゃん焼き定食.csv","20250909-20250916 鶏ちゃん焼き定食"
"過去","20250909_具たくさんとまと豚汁.csv","20250909-20250916 具たくさんとまと豚汁"
"過去","20250819_担々麵ハンバーグ.csv","20250819-20250826 担々麵ハンバーグ"
"過去","20250819_カルビの炙り十勝豚丼.csv","20250819-20250826 カルビの炙り十勝豚丼"
