code,name,brand,longitude,latitude
0000000003,松屋 江古田店,松屋,139.671585,35.738541
0000000004,松屋 西荻窪店,松屋,139.599762,35.703560
0000000014,松屋 阿佐ヶ谷店,松屋,139.636002,35.705227
0000000015,松屋 荻窪北口店 ※1月30日15時閉店。ご愛顧ありがとうございました,松屋,139.621277,35.704796
0000000016,松屋 高円寺店,松屋,139.649521,35.705856
0000000024,松屋 大塚店,松屋,139.727646,35.732944
0000000032,松屋 吉祥寺南口店,松屋,139.579025,35.702705
0000000035,松屋 下北沢店,松屋,139.667526,35.660854
0000000036,松屋 鶴見店,松屋,139.674866,35.508816
0000000038,松屋 八王子店,松屋,139.338104,35.657021
0000000047,松屋 大森店,松屋,139.727524,35.588722
0000000050,松屋 西船橋店,松屋,139.959579,35.708496
0000000051,松屋 経堂店,松屋,139.637100,35.650352
0000000054,松屋 高田馬場店,松屋,139.703796,35.714119
0000000056,松屋 金町店,松屋,139.870956,35.769936
0000000057,松屋 淵野辺店（松のや併設）,松屋,139.392014,35.565044
0000000060,松屋 武蔵村山店,松屋,139.406921,35.748398
0000000062,松屋 渋谷センター街店,松屋,139.698883,35.660244
0000000070,松屋 草加店（松のや併設）,松屋,139.786789,35.846447
0000000071,松屋 立川店（マイカリー食堂併設）,松屋,139.414780,35.698990
0000000072,松屋 新宿西口店,松屋,139.696976,35.689651
0000000073,松屋 駒沢店,松屋,139.660614,35.632626
0000000078,松屋 大山店,松屋,139.703003,35.748894
0000000079,松屋 大宮東口店,松屋,139.624664,35.907913
0000000082,松屋 多摩ニュータウン店,松屋,139.394135,35.624878
0000000083,松屋 鶴瀬店,松屋,139.537827,35.845211
0000000084,松屋 ひばりが丘店,松屋,139.544785,35.752010
0000000086,松屋 三鷹南口店,松屋,139.560883,35.700966
0000000095,松屋 阪神尼崎店,松屋,135.415695,34.719738
0000000096,松屋 岸和田店,松屋,135.376877,34.450150
0000000100,松屋 大和店,松屋,139.462708,35.469532
0000000101,松屋 千日前店,松屋,135.501877,34.666428
0000000102,松屋 本厚木店,松屋,139.364792,35.440338
0000000103,松屋 鶴見東口店（マイカリー食堂併設）,松屋,139.677551,35.508232
0000000107,松屋 町田店,松屋,139.447861,35.541977
0000000109,松屋 市川店,松屋,139.908859,35.729431
0000000110,松屋 喜連瓜破店,松屋,135.551315,34.609409
0000000111,松屋 布施店,松屋,135.561905,34.664394
0000000113,松屋 南池袋店,松屋,139.711761,35.727222
0000000116,松屋 門前仲町店,松屋,139.794174,35.672874
0000000118,松屋 大船店,松屋,139.534119,35.353474
0000000119,松屋 小田急相模原店,松屋,139.424103,35.514828
0000000121,松屋 代々木店,松屋,139.701813,35.683083
0000000122,松屋 都立大学店 ※2月16日15時より一時閉店、2月24日15時オープン,松屋,139.676559,35.616913
0000000124,松屋 西五反田店,松屋,139.723282,35.624390
0000000125,松屋 松戸店,松屋,139.899689,35.783905
0000000126,松屋 白山店,松屋,139.752869,35.722416
0000000128,松屋 神楽坂店,松屋,139.741287,35.700745
0000000133,松屋 目黒東口店,松屋,139.716629,35.634247
0000000137,松屋 練馬店,松屋,139.654312,35.737236
0000000138,松屋 北浦和店 ※3月9日15時閉店。ご愛顧ありがとうございました,松屋,139.644424,35.871792
0000000139,松屋 千葉店,松屋,140.116745,35.610317
